station,strike,dip,rakes,shear,comments,recorder
FL17-67,45,61,8,RL,v iffy,sarah
FL17-67,52,46,0,RL,,sarah
FL17-67,90,60,30,LL,v iffy,sarah
FL17-67,138,78,166,RL,near cataclasite zone,sarah
FL17-67,110,80,2,RL,near cataclasite zone,sarah
FL17-67,335,82,28,LL,near cataclasite zone,sarah
FL17-67,343,81,10,LL,"red, photo",sarah
FL17-67,332,72,41,NL,,sarah
FL17-67,335,89,21,LL,,sarah
FL17-67,75,148,,,,sarah
FL17-67,145,158,,,,sarah
FL17-67,206,60,,N,"13cm offset, cuts vein",sarah
FL17-67,235,80,,,"8cm offset, cuts vein",sarah
FL17-67,122,8,55,N,,sarah
FL17-67,160,62,,,"7cm offset, cuts vein",sarah
FL17-68,45,88,168,RL,,sarah
FL17-68,323,78,24,RL,cut by nex,sarah
FL17-68,36,60,28,RL,cuts previous,sarah
FL17-68,310,72,12,LL,beautiful,sarah
FL17-68,344,68,170,RL,"gorgeous, photo",sarah
FL17-68,340,89,10,RL,,sarah
FL17-68,55,82,178,LL,,sarah
FL17-68,350,82,17,RL,,sarah
FL17-68,56,59,,,intra-lava B.Z.,sarah
FL17-68,7,71,35,TR,,sarah
FL17-68,46,78,22,LL,,sarah
FL17-68,30,68,18,LL,green,sarah
FL17-68,54,70,0,LL,green,sarah
FL17-68,22,80,,,brecciated,sarah
FL17-68,294,62,9,RL,"iffy, red",sarah
FL17-68,348,72,160,RL,,sarah
FL17-68,30,74,174,LL,green,sarah
FL17-68,254,40,33,TR,red,sarah
FL17-68,15,66,18,LL,green,sarah
FL17-68,57,61,,,,sarah
FL17-68,22,80,,,sharp,sarah
FL17-68,27,75,166,RL,zone of intact rock,sarah
FL17-68,29,88,166,RL,zone of intact rock,sarah
FL17-68,68,72,10,LL,,sarah
FL17-68,25,62,154,RL,red,sarah
FL17-68,35,89,12,LL,,sarah
FL17-68,343,82,9,RL,red,sarah
FL17-68,143,76,150,LL,red,sarah
FL17-69,132,68,,N,photo,sarah
FL17-69,197,88,133,LL,red,sarah
FL17-69,64,52,3,LL,,sarah
FL17-69,66,79,16,RL,,sarah
FL17-69,115,60,,NL,offsets flow top,sarah
FL17-69,30,57,,N,offsets flow top,sarah
FL17-69,315,55,10,LL,,sarah
FL17-70,39,58,35,LL,,sarah
FL17-70,165,82,,,weathered out,sarah
FL17-70,51,62,25,,red,sarah
FL17-70,35,62,,,5cm gouge,sarah
FL17-70,38,70,22,LL,,sarah
FL17-70,40,80,,,dike margin,sarah
FL17-70,20,80,,,in dike,sarah
FL17-70,186,82,,,dike margin,sarah
FL17-70,10,76,70,,,sarah
FL17-70,98,65,,,5cm gouge,sarah
FL17-70,165,78,,,"eroded, red",sarah
FL17-70,332,68,8,RL,,sarah
FL17-70,18,62,62,,,sarah
FL17-70,41,62,35,LL,red,sarah
FL17-70,26,89,31,LL,,sarah
FL17-71,264,86,,,"photo, cuts f.t. with vesicles",sarah
FL17-71,49,80,20,LL,,sarah
FL17-71,64,74,,,"gouge, veins",sarah
