station,easting,northing
FL18-67 A,639600.6709,7338637.253
FL18-67 B,639631.0072,7338630.827
FL18-67 C,639691.3284,7338596.749
FL18-67 D,639744.1735,7338574.917
FL18-67 E,639809.437,7338567.095
FL18-68 A,639041.5896,7339000.704
FL18-68 B,639055.6078,7338984.985
FL18-68 C,639069.6839,7338966.255
FL18-68 D,639090.4262,7338946.179
FL18-68 E,639108.585,7338916.153
FL18-68 F,639124.5644,7338887.248
FL18-68 G,639128.6975,7338859.321
FL18-69 A,637062.6952,7340001.103
FL18-69 B,637111.657,7339971.669
FL18-69 C,637171.8204,7339956.286
FL18-69 D,637188.7301,7339940.252
FL18-69 E,637217.455,7339887.511
FL18-71 A,638254.7762,7339764.881
FL18-71 B,638292.2477,7339769.283
FL18-71 C,638371.9407,7339714.362
FL18-71 D,638568.5215,7339457.33
FL18-71 E,638653.1353,7339423.978
FL18-72 A,638781.8939,7339348.593
FL18-72 B,638840.2274,7339302.01
FL18-72 C,638864.3175,7339265.242
FL18-72 D,638878.3726,7339213.804
FL18-72 E,638971.7453,7339072.502
FL18-72 F,638939.4361,7339109.982
FL18-95,639966.6431,7338548.648
FL18-95 A,639966.6431,7338548.648
FL18-95 B,640014.3065,7338517.41
FL18-95 C,640057.0179,7338472.085
FL18-95 D,640091.2846,7338425.672
FL18-95 E,640110.5093,7338344.356
FL18-95 F,640182.636,7338270.352
FL18-95 G,640216.8494,7338262.45
FL18-96,627254.3671,7318271.842
FL18-97,627199.2318,7315795.986
FL18-97 A,627199.2318,7315795.986
FL18-97 B,627194.1029,7315493.224
FL18-97 C,627458.6066,7316476.581
FL18-98,630577.1511,7316617.038
FL18-98 A,630577.1511,7316617.038
FL18-98 B,630978.4362,7316276.084
FL18-98 C,630955.3731,7316340.871
FL18-99,631795.7886,7340165.271
FL18-99 A,631795.7886,7340165.271
FL18-99 B,631790.7593,7340142.379
FL18-99 C,631781.172,7340101.975
FL18-99 D,631770.7469,7340056.286
FL18-99 E,631756.5422,7340020.912
FL18-99 F,631723.6199,7339973.281
FL18-99 G,631689.6284,7339926.27
FL18-99 H,631642.4303,7339862.125
TJ18-37,664821.9714,7332791.891
TJ18-37 A,664821.9714,7332791.891
TJ18-37 B,664800.4763,7332796.56
TJ18-37 C,664805.8245,7332819.209
TJ18-37 D,664793.3494,7332857.463
TJ18-37 E,664787.8209,7332866.746
TJ18-37 F,664777.7527,7332880.01
TJ18-37 G,664757.0311,7332895.557
TJ18-37 H,664740.5797,7332898.509
TJ18-37 I,664736.2458,7332907.528
TJ18-37 J,664733.9644,7332921.021
TJ18-37 K,664730.0219,7332944.358
TJ18-37 L,664717.0604,7332966.054
TJ18-37 M,664670.7882,7333009.267
TJ18-37 N,664639.2164,7333018.041
TJ18-37 O,664634.3208,7333030.489
TJ18-37 P,664634.1358,7333060.188
TJ18-37 Q,664624.5503,7333093.249
TJ18-37 QR,664612.3144,7333106.387
TJ18-37 R,664614.623,7333125.173
TJ18-37 S,664567.8599,7333200.302
TJ18-37 T,664529.8393,7333226.461
TJ18-37 U,664516.61,7333241.887
TJ18-37 V,664512.6198,7333247.352
TJ18-37 W,664502.5092,7333258.268
TJ18-37 X,664511.7948,7333292.761
TJ18-37 Y,664521.0565,7333308.936
TJ18-37 Z,664545.7861,7333318.75
TJ18-41,664952.1189,7331298.693
TJ18-41 A,664957.7189,7331303.04
TJ18-41 B,664950.7257,7331285.991
TJ18-41 C,664972.4137,7331483.158
TJ18-42 A,665239.051,7335482.044
TJ18-42 B,665206.6776,7335490.987
TJ18-42 C,665190.3617,7335481.769
TJ18-42 D,665169.5756,7335457.547
TJ18-42 E,665127.8135,7335443.381
TJ18-42 F,665067.1267,7335439.839
TJ18-42 G,664944.4965,7335375.053
TJ18-42 H,665004.5812,7335421.558
TJ18-43,664726.6171,7327971.107
TJ18-43 H,664818.5747,7328090.48
TJ18-44,666145.2942,7327781.181
TJ18-45,667663.7839,7329694.159
TJ18-45 B,667705.4686,7329654.179
TJ18-45 C,667774.584,7329601.079
TJ18-45 D,667441.6863,7329921.405
