site,easting,northing,strike,dip
E,627957.5625,7314235.993,359,83
E,627957.5625,7314235.993,20,82
E,627957.5625,7314235.993,10,83
E,627957.5625,7314235.993,34,88
E,627957.5625,7314235.993,46,87
E,627957.5625,7314235.993,5,82
E,627957.5625,7314235.993,0,81
E,627957.5625,7314235.993,3,78
E,627957.5625,7314235.993,2,81
E,627957.5625,7314235.993,164,88
E,627957.5625,7314235.993,176,85
E,627957.5625,7314235.993,164,85
E,627957.5625,7314235.993,190,89
E,627957.5625,7314235.993,192,87
F,626112.2889,7320120.073,56,87
F,626112.2889,7320120.073,31,70
F,626112.2889,7320120.073,33,84
F,626112.2889,7320120.073,25,84
F,626112.2889,7320120.073,20,79
F,626112.2889,7320120.073,10,72
F,626112.2889,7320120.073,337,84
F,626112.2889,7320120.073,340,80
F,626112.2889,7320120.073,356,85
F,626112.2889,7320120.073,2,79
F,626112.2889,7320120.073,6,81
F,626112.2889,7320120.073,4,83
F,626112.2889,7320120.073,5,86
F,626112.2889,7320120.073,350,87
F,626112.2889,7320120.073,350,82
F,626112.2889,7320120.073,353,80
F,626112.2889,7320120.073,355,79
F,626112.2889,7320120.073,10,80
F,626112.2889,7320120.073,12,80
F,626112.2889,7320120.073,12,86
F,626112.2889,7320120.073,17,85
F,626112.2889,7320120.073,155,86
F,626112.2889,7320120.073,166,84
F,626112.2889,7320120.073,171,86
F,626112.2889,7320120.073,176,82
F,626112.2889,7320120.073,182,78
F,626112.2889,7320120.073,188,75
F,626112.2889,7320120.073,224,83
F,626112.2889,7320120.073,218,78
F,626112.2889,7320120.073,215,80
F,626112.2889,7320120.073,211,86
F,626112.2889,7320120.073,157,80
F,626112.2889,7320120.073,160,81
F,626112.2889,7320120.073,176,89
F,626112.2889,7320120.073,180,87
F,626112.2889,7320120.073,183,88
F,626112.2889,7320120.073,188,85
F,626112.2889,7320120.073,191,88
F,626112.2889,7320120.073,194,87
F,626112.2889,7320120.073,194,82
F,626112.2889,7320120.073,196,80
F,626112.2889,7320120.073,197,83
F,626112.2889,7320120.073,201,88
F,626112.2889,7320120.073,206,90
F,626112.2889,7320120.073,206,87
F,626112.2889,7320120.073,205,84
F,626112.2889,7320120.073,206,82
F,626112.2889,7320120.073,215,78
F,626112.2889,7320120.073,13,82
F,626112.2889,7320120.073,198,82
F,626112.2889,7320120.073,14,83
G,623915.7464,7324747.768,294,83
G,623915.7464,7324747.768,263,71
G,623915.7464,7324747.768,254,90
G,623915.7464,7324747.768,92,88
G,623915.7464,7324747.768,97,81
G,623915.7464,7324747.768,101,90
G,623915.7464,7324747.768,153,88
G,623915.7464,7324747.768,165,80
G,623915.7464,7324747.768,170,87
G,623915.7464,7324747.768,176,86
G,623915.7464,7324747.768,182,82
G,623915.7464,7324747.768,186,81
G,623915.7464,7324747.768,190,72
G,623915.7464,7324747.768,198,74
G,623915.7464,7324747.768,190,85
G,623915.7464,7324747.768,192,85
G,623915.7464,7324747.768,194,87
G,623915.7464,7324747.768,196,89
G,623915.7464,7324747.768,198,81
G,623915.7464,7324747.768,200,84
G,623915.7464,7324747.768,203,89
G,623915.7464,7324747.768,184,88
G,623915.7464,7324747.768,187,90
G,623915.7464,7324747.768,206,87
G,623915.7464,7324747.768,210,83
G,623915.7464,7324747.768,213,90
G,623915.7464,7324747.768,213,87
G,623915.7464,7324747.768,216,88
G,623915.7464,7324747.768,214,86
G,623915.7464,7324747.768,340,62
G,623915.7464,7324747.768,340,81
G,623915.7464,7324747.768,344,83
G,623915.7464,7324747.768,350,72
G,623915.7464,7324747.768,1,71
G,623915.7464,7324747.768,49,82
G,623915.7464,7324747.768,349,89
G,623915.7464,7324747.768,350,86
G,623915.7464,7324747.768,352,85
G,623915.7464,7324747.768,3,81
G,623915.7464,7324747.768,26,70
G,623915.7464,7324747.768,30,71
G,623915.7464,7324747.768,33,74
G,623915.7464,7324747.768,357,83
G,623915.7464,7324747.768,355,81
G,623915.7464,7324747.768,356,78
G,623915.7464,7324747.768,358,78
G,623915.7464,7324747.768,6,68
G,623915.7464,7324747.768,14,74
G,623915.7464,7324747.768,44,87
G,623915.7464,7324747.768,45,83
G,623915.7464,7324747.768,42,81
G,623915.7464,7324747.768,38,82
G,623915.7464,7324747.768,36,87
G,623915.7464,7324747.768,32,79
G,623915.7464,7324747.768,32,83
G,623915.7464,7324747.768,18,81
G,623915.7464,7324747.768,6,82
G,623915.7464,7324747.768,18,77
G,623915.7464,7324747.768,21,78
G,623915.7464,7324747.768,22,80
G,623915.7464,7324747.768,26,79
G,623915.7464,7324747.768,30,86
G,623915.7464,7324747.768,28,84
G,623915.7464,7324747.768,27,80
G,623915.7464,7324747.768,26,82
G,623915.7464,7324747.768,23,79
G,623915.7464,7324747.768,25,86
G,623915.7464,7324747.768,21,86
G,623915.7464,7324747.768,22,87
G,623915.7464,7324747.768,23,88
G,623915.7464,7324747.768,23,83
G,623915.7464,7324747.768,14,78
G,623915.7464,7324747.768,14,81
G,623915.7464,7324747.768,12,85
G,623915.7464,7324747.768,8,89
G,623915.7464,7324747.768,8,85
G,623915.7464,7324747.768,7,80
G,623915.7464,7324747.768,7,75
G,623915.7464,7324747.768,9,76
G,623915.7464,7324747.768,11,79
G,623915.7464,7324747.768,10,82
G,623915.7464,7324747.768,7,78
G,623915.7464,7324747.768,11,81
G,623915.7464,7324747.768,8,79
H,622894.5352,7328994.95,180,79
H,622894.5352,7328994.95,181,73
H,622894.5352,7328994.95,185,73
H,622894.5352,7328994.95,193,78
H,622894.5352,7328994.95,190,71
H,622894.5352,7328994.95,197,73
H,622894.5352,7328994.95,215,77
H,622894.5352,7328994.95,222,89
H,622894.5352,7328994.95,243,82
H,622894.5352,7328994.95,285,83
H,622894.5352,7328994.95,298,81
H,622894.5352,7328994.95,338,87
H,622894.5352,7328994.95,341,73
H,622894.5352,7328994.95,350,81
H,622894.5352,7328994.95,353,68
H,622894.5352,7328994.95,20,68
H,622894.5352,7328994.95,45,78
H,622894.5352,7328994.95,40,85
H,622894.5352,7328994.95,0,83
H,622894.5352,7328994.95,359,78
H,622894.5352,7328994.95,7,72
H,622894.5352,7328994.95,9,79
H,622894.5352,7328994.95,5,78
H,622894.5352,7328994.95,5,81
H,622894.5352,7328994.95,11,87
H,622894.5352,7328994.95,16,82
H,622894.5352,7328994.95,18,85
H,622894.5352,7328994.95,20,83
H,622894.5352,7328994.95,22,89
H,622894.5352,7328994.95,26,85
H,622894.5352,7328994.95,28,83
H,622894.5352,7328994.95,26,79
H,622894.5352,7328994.95,36,89
H,622894.5352,7328994.95,35,83
H,622894.5352,7328994.95,205,16
H,622894.5352,7328994.95,230,39
H,622894.5352,7328994.95,207,83
H,622894.5352,7328994.95,204,79
H,622894.5352,7328994.95,203,83
H,622894.5352,7328994.95,36,84
H,622894.5352,7328994.95,203,82
