station,easting,northing,ourstation
FJ1,628505.0218,7341021.706,FL17-79
FJ2,629784.5003,7340833.748,FL17-76
FJ3,630911.7578,7341330.719,FL17-80
FJ4,631595.6108,7339619.443,FL17-82
FJ5,637290.2801,7339846.278,FL17-69
FJ6,638457.9842,7339638.367,FL17-71
FJ7,639154.5273,7338822.694,FL17-68
FJ8,640262.0831,7338251.717,FL17-74
FJ9,640572.1017,7336460.549,FL17-75A
FJ10,641611.6898,7334704.869,
FJ11,623427.3924,7325783.216,FL14-11
