station,strike,dip,trend,plunge,substation
F19,241,57,350.6,55.4,N4
F19,211,57,249.9,44.1,N4
F19,224,70,250.9,51.2,N4
F19,218,77,245.9,63.8,N4
F19,225,67,251.6,46.5,N4
F19,239,54,330.7,54,N4
F19,147,41,217.5,39.3,N4
F19,162,45,204.1,33.9,N4
F19,180,67,216.3,54.4,N4
F19,153,60,193.9,48.6,N4
F19,142,61,208.3,58.8,N4
F19,138,60,187.7,52.9,N4
F19,161,69,189.9,51.5,N4
F19,93,62,236.1,48.5,N4
F19,36,69,99.8,66.8,N4
F19,29,56,172.4,41.5,N4
F19,59,65,201.7,52.4,N4
F19,44,74,166.6,71.2,N4
F19,75,37,197.5,32.4,N4
F19,111,55,187.2,54.2,N4
F12,354,71,180,-17,S1
F12,10,65,199.7,-19.8,S1
F12,216,79,28.1,35.2,S1
F12,39,82,224.2,-32.6,S1
F12,119,76,111,-29,S1
F12,113,78,108.7,-19.5,S1
F12,125,58,65,-54.2,S1
F12,125,50,74.6,-42.6,S1
F12,90,56,95.2,7.4,S1
F12,66,68,61.1,-12,S1
F12,77,63,70.1,-13.3,S1
F12,74,68,80.9,16.6,S1
F12,104,77,101,-12.7,S1
F12,101,84,97.8,-27.8,S1
F12,97,80,91.7,-27.5,S1
F12,99,70,94.8,-11.3,S1
F12,255,78,259.1,18.6,S1
F12,81,76,81,0,S1
F12,76,89,75.9,-7,S1
F12,84,86,83.3,-10,S1
F12,85,71,79.3,-16,S1
F12,90,70,84,-15.9,S1
F12,90,77,84.8,-21.4,S1
F14,288,67,290,4.6,S1
F14,27,59,206.5,0.9,S1
F14,75,68,84.9,23.1,S1
F14,78,77,74.3,-15.6,S1
F14,78,59,67.9,-16.2,S1
F14,79,68,70,-21.2,S1
F14,71,80,70.1,-4.9,S1
F14,72,71,71,-2.8,S1
F14,187,88,6.6,11,S1
F14,6,88,186.7,-19,S1
F18A,204,85,23.7,4,S1
F18A,213,78,28.2,21.5,S1
F18A,211.5,84,26.1,41.7,S1
F18A,212,86,28.3,42.9,S1
F18A,25,84,206.7,-15.9,S1
F18A,36,74,210,20.2,S1
F18A,29,57,213.9,-7.5,S1
F18A,33,75,215.1,-7.7,S1
F18A,35,74,214.2,2.9,S1
F18A,37,83,217.5,-4,S1
F18A,38,82,217,6.9,S1
F18A,91,60,93.5,4.3,S1
F18A,242,84,241.8,-2,S1
F18A,283,74,275,-25.9,S1
F18A,277,72,272.3,-14.2,S1
F18A,278,83,275.7,-17.9,S1
F18A,60,58,68.1,12.7,S1
F18A,76,47,80.8,5.1,S1
F18A,267,71,263,-11.3,S1
F18A,73,60,76.5,6.1,S1
F18A,273,69,264.8,-20.5,S1
F18A,67,80,75.3,39.3,S1
F18A,264,66,251.8,-25.4,S1
F18A,68,60,69.5,2.6,S1
F18A,76,63,70,-11.6,S1
F18A,251,88,250.7,-8,S1
F18A,262,81,260.4,-9.9,S1
F18A,57,83,56.3,-6,S1
F18A,262,77,260.4,-6.8,S1
F18A,252,73,245.9,-19.1,S1
F18A,253,64,242,-21.4,S1
F18A,251,65,239.4,-23.4,S1
F18A,256,69,245.2,-26,S1
F11,24,86,207.1,-37.9,S2
F11,30,79,211.9,-8.8,S2
F11,30.5,76,221.6,-37.6,S2
F11,49,89,229.4,-23,S2
F11,45,75,231.3,-22.2,S2
F11,38,68,224.5,-15.7,S2
F11,42,64,233,-21.4,S2
F11,47,64,237.5,-20.6,S2
F11,67,66,240.8,13.7,S2
F11,65,63,248.7,-7.1,S2
F11,65,61,239.6,9.6,S2
F11,116,57,113.8,-3.4,S2
F11,114,58,107.6,-10.2,S2
F14,144,70,131.9,-29.9,S2
F14,123,88,121.7,-34,S2
F14,106,81,101.2,-27.6,S2
F14,107,60,94.4,-20.6,S2
F14,289,88,290.2,31,S2
F14,113,81,107.4,-31.6,S2
F14,295,87,296.2,22,S2
F14,126,74,118,-25.9,S2
F14,124,80,119.2,-25.6,S2
F14,226,88,46.1,-3,S2
F14,55,62,222.1,22.8,S2
F14,59,54,223.7,20,S2
F14,45,75,218.1,24.1,S2
F14,43,69,227.4,-11.2,S2
F14,41,53,225.2,-5.6,S2
F18A,126,78,123,-13.7,S2
F18A,123,63,112.6,-19.5,S2
F18A,107,74,93.1,-40,S2
F18A,113,68,95,-37.5,S2
F18A,90,63,77.5,-23,S2
F18A,106,58,89,-25.1,S2
F18A,102,59,84.2,-27,S2
F18A,65,68,242.4,6.5,S2
F18A,55,71,242.5,-20.7,S2
F18A,59,72,240.5,-4.8,S2
F18A,62,66,249.1,-15.5,S2
F18A,59,57,249,-15,S2
F19,12,89,192.3,-15,S2
F19,19,87,199.2,-3,S2
F19,198,88,16.9,28,S2
F19,41,68,203.6,36.6,S2
F19,93,63,94.4,2.7,S2
F19,71,65,254.4,-7.2,S2
F19,69,68,253.2,-10.2,S2
F19,55,61,223.4,20,S2
F19,50,78,225.4,20.5,S2
F19,58,83,242.1,-26.7,S2
F19,58,86,240.3,-29.9,S2
F19,218,77,40.7,-11.7,S2
F13,43,70,40.5,-6.5,S3
F13,287,70,109.8,-7.5,S3
F13,312,58,118.1,21,S3
F13,331,49,125.5,26.3,S3
F13,33,62,50,28.7,S3
F13,30,61,46.9,27.6,S3
F13,10,78,11.3,5.9,S3
F13,32,71,30.4,-4.7,S3
F13,302,88,122.6,-18,S3
F13,21,66,40.5,36.8,S3
F13,358,87,356.9,-20,S3
F13,159,69,322.8,36,S3
F13,138,70,308.5,24.3,S3
F13,150,79,326.9,15.7,S3
F13,323,87,143.4,-8,S3
F13,314,88,132.7,24,S3
F13,333,63,131.5,35.8,S3
F13,335,58,146.9,12.7,S3
F13,331,49,149,2.3,S3
F15B,332,51,146.3,7,S3
F15B,293,83,109.1,28.8,S3
F15B,173,81,350.3,16.8,S3
F15B,32,70,30.6,-3.8,S3
F15B,315,78,139.8,-21.5,S3
F15B,45,64,40.1,-9.9,S3
F15B,51,63,37.4,-24.7,S3
F15B,326,72,151.4,-16.1,S3
F15B,221,85,224.8,36.8,S3
F15B,47,81,43.2,-22.7,S3
F15B,329,87,150.3,-24,S3
F15B,327,78,151.3,-19.5,S3
F15B,332,79,154.9,-14.7,S3
F15B,332,83,154.4,-18.9,S3
F15B,330,85,153.1,-31.9,S3
F16,73,77,66.2,-27.2,S3
F16,318,66,137.2,1.8,S3
F16,38,44,45.2,6.9,S3
F16,67,71,69.3,6.6,S3
F16,47,59,55.9,14.5,S3
F16,35,59,40.2,8.6,S3
F16,51,64,42.9,-16.1,S3
F16,35,84,31.1,-32.8,S3
F16,345,88,164.3,19,S3
F16,147,87,328,-19,S3
F16,30,56,12.1,-24.5,S3
F16,341,70,164.5,-9.4,S3
F16,38,55,23.7,-19.5,S3
F16,155,79,331.9,15.7,S3
F16,23,69,17.1,-14.9,S3
F16,341,87,161,0,S3
F16,22,79,17.4,-22.6,S3
F16,334,71,149.7,12.3,S3
F16,27,77,26.1,-3.9,S3
F16,28,63,12.7,-27.3,S3
F16,40,71,30.6,-25.4,S3
F16,32,67,22.6,-21.1,S3
F16,334,75,155.6,-5.8,S3
F16,349,51,161.4,9.3,S3
F16,156,89,336.3,-17,S3
F16,333,72,156.1,-9.5,S3
F16,330,87,148.8,22,S3
F16,335,78,152.5,11.7,S3
F16,338,81,158.5,-3,S3
F16,336,81,155.7,2,S3
F16,329,86,150.7,-22.9,S3
F112,225,78,225.4,2,S3
F112,16,67,16.4,0.9,S3
F112,206,63,206,0,S3
F112,24,88,24.8,21,S3
F112,302,87,121.6,7,S3
F112,186,85,187.4,15.9,S3
F112,346,87,167.3,-23,S3
F112,168,86,348.6,-8,S3
F112,350,88,169.9,4,S3
F112,145,76,327.9,-11.6,S3
F112,151,76,329.8,4.9,S3
F112,143,82,324.7,-11.9,S3
F112,317,76,144.6,-28.1,S3
F112,325,81,145.8,-4.9,S3
F112,322,84,143.8,-16.9,S3
F112,329,85,147.9,12,S3
F112,324,87,143.8,5,S3
F113,283,70,165.7,-67.7,S3
F113,306,72,133.5,-21.8,S3
F113,329,89,148.9,4,S3
F113,316,76,145.6,-33.8,S3
F113,216,71,224.6,23.6,S3
F113,36,79,33.1,-14.7,S3
F113,38,71,33.7,-12.3,S3
F113,204,76,206.7,10.7,S3
F113,206,85,206.3,3,S3
F113,195,80,195.2,1,S3
F113,20,75,19.5,-1.9,S3
F113,11,82,10.9,-1,S3
F113,14,84,13.7,-3,S3
F15B,334,76,338.2,16.5,S4
F15B,328,80,329.9,10.8,S4
F15B,294,79,120.8,-31.3,S4
F15B,305,83,126.6,-12.9,S4
F15B,127,82,303.8,21.8,S4
F15B,94,88,273.5,13,S4
F16,80,58,254.1,9.3,S4
F16,95,81,271.7,19.7,S4
F16,3,38,349.5,-10.4,S4
F16,332,73,329,-9.6,S4
F16,352,71,349.4,-7.6,S4
F16,154,79,157.5,17.7,S4
F16,163,75,167.5,16.4,S4
F16,148,82,153.8,35.6,S4
F16,159,78,163.3,19.5,S4
F16,331,89,330,-44,S4
F16,334,75,334.8,2.9,S4
F16,334,77,328,-24.3,S4
F16,335,82,328.8,-37.6,S4
F16,338,82,341.5,23.8,S4
F16,337,87,337.7,14,S4
F16,155.5,88,154,-36,S4
F18A,280,72,90.3,27.5,S4
F18A,262,48,84.7,-3,S4
F18A,259,51,83.4,-5.4,S4
F18A,84.5,77,271.9,-29.2,S4
F18A,103.5,69,285.8,-7.5,S4
F18A,101,62,281.9,-1.8,S4
F18A,85,59,268.1,-5.1,S4
F18A,83.5,62,260.2,6.2,S4
F18A,137,65,119.3,-33.1,S4
F18A,136,71,124.5,-30.1,S4
F18A,132,70,125.3,-17.8,S4
F112,275,83,96.4,-10.9,S4
F112,77,88,256.9,2,S4
F112,166,66,175.8,20.9,S4
F112,155,74,154.2,-2.9,S4
F112,145,88,145.1,2,S4
F112,316,88,316.1,3,S4
F112,349,68,347.5,-3.7,S4
F112,348,74,355.7,24.9,S4
F112,341,81,343.6,15.8,S4
F112,352.5,87,352,-10,S4
F112,345,90,345,2,S4
F112,179,84,179.7,7,S4
