station,strike,dip,width (cm),shear,color,recorder,comments
TJ18-37 C,61,68,1.6,,white,NH,
TJ18-37 C,105,60,0.8,,white,NH,
TJ18-37 F,164,76,1,,white,NH,
TJ18-37 F,58,72,,,,NH,
TJ18-37 F,100,88,1,,,NH,
TJ18-37 F,36,75,,,,NH,
TJ18-37 F,27,90,,,,NH,
TJ18-37 F,18,85,,,,NH,
TJ18-37 O,74,74,0.7,,,NH,
TJ18-37 U,156,85,15,,white,NH,
TJ18-37 W,10,85,,,,NH,
TJ18-37 W,10,85,,,,NH,
TJ18-42 B,18,73,5,,"white, brown inside",NH,
TJ18-37 Y,25,80,,,"red, white",NH,
