station,strike,dip,rake,width (cm),color,recorder,comments
FL18-95 B,80,60,210,,,PA,RL
FL18-95 B,325,61,120,,,NH,RL/N
FL18-95 C,45,66,85,,,PA,N
FL18-95 C,32,71,232,,,PA,T
FL18-95 D,22,58,50,,,NH,LL
FL18-95 E,255,60,350,,,SWS,LL
FL18-95 E,20,76,35,,,SWS,LL/N
FL18-95 E,355,70,80,,,NH,N
FL18-95 E,342,86,130,,,SWS,N
FL18-95 E,80,38,105,,,SWS,N
FL18-95 E,132,90,205,,"green, red, no minerals",NH,RL
FL18-95 E,334,70,130,,,NH,RL
FL18-95 E,323,72,140,,,NH,RL
FL18-95 E,358,56,105,,,SWS,RL/N
FL18-95 E,65,69,240,,,SWS,T
FL18-95 G,132,75,320,,,NH,LL
FL18-95 G,330,85,80,small,,NH,LL
FL18-95 G,13,69,115,,,NH,N
FL18-95 G,158,70,90,big,,NH,N
FL18-95 G,96,65,225,,red,NH,RL
FL18-95 G,145,68,140,,"red, white, green",NH,RL
FL18-97 B,30,55,80,,,NH,N
FL18-98,228,81,12,,,SWS,LL
FL18-98,202,88,52,,,SWS,N
FL18-98,173,72,95,,,SWS,N
FL18-98 A,171,90,11,,white,ST,LL
FL18-98 B,176,83,2,,white,ST,LL
FL18-99 A,10,60,60,,,NH,LL
FL18-99 A,100,85,335,,,PA,LL
FL18-99 A,21,62,40,,,PA,LL
FL18-99 A,53,36,14,,,PA,LL
FL18-99 A,280,76,57,,"red, white",ST,LL/N
FL18-99 A,55,23,154,,"red, white",ST,N
FL18-99 A,358,37,220,,,PA,RL
FL18-99 A,290,3,220,,,PA,T
FL18-99 C,0,50,45,,brown,NH,LL
FL18-99 C,72,46,220,,,PA,LL
FL18-99 C,269,69,15,,,PA,LL
FL18-99 C,325,64,60,,,PA,N
FL18-99 C,122,90,135,,,PA,RL
FL18-99 C,122,90,135,,,PA,RL
FL18-99 C,334,60,220,,,PA,RL
FL18-99 D,95,64,8,,,ST,LL
FL18-99 D,82,81,8,,,ST,LL
FL18-99 D,136,90,287,,,ST,LL
FL18-99 E,72,55,85,,"brown, red",NH,N
FL18-99 E,258,85,70,small,,NH,N
FL18-99 E,313,66,65,,,PA,N
FL18-99 E,48,52,83,,,PA,N
FL18-99 E,127,75,90,,,PA,N
FL18-99 E,12,50,150,,,PA,RL
FL18-99 E,340,45,145,,gouge,PA,RL
FL18-99 G,55,63,143,,"red, white",ST,RL
FL18-99 G,355,50,143,,red,ST,RL
FL18-99 H,76,85,305,,,PA,LL
FL18-99 H,68,60,342,,,PA,LL
FL18-99 H,226,82,5,,"red, white",PA,LL
FL18-99 H,320,53,135,,,PA,N
FL18-99 H,63,65,115,,,PA,N
TJ18-37 F,347,80,192,small,"red, white",NH,RL
TJ18-37 M,152,57,159,,,ST,RL
TJ18-37 M,150,60,160,,,ST,RL
TJ18-37 M,163,66,146,,,ST,RL
TJ18-37 M,148,66,153,,,ST,RL
TJ18-37 QR,58,63,33,,,ST,LL
TJ18-37 V,26,70,195,,red,ST,RL
TJ18-37 W,35,85,15,,"red, white",ST,LL
TJ18-37 W,185,82,335,,,NH,LL
TJ18-37 W,34,67,51,,red,ST,N/LL
TJ18-37 W,183,82,170,,,ST,RL
TJ18-37 Y,357,90,175,,"red, white",ST,RL
TJ18-37 Z,74,72,0,,,ST,LL
TJ18-41 B,326,78,190,,,ST,RL
TJ18-42,110,90,175,,,NH,RL
TJ18-42 A,155,63,142,,red,ST,RL
TJ18-42 A,35,74,177,,red,ST,RL
TJ18-42 H,130,80,150,,red ,ST,RL
TJ18-44,160,90,143,,red,ST,RL
TJ18-45,70,62,0,,pink,ST,LL
TJ18-45,55,75,21,,,ST,LL
TJ18-45,80,63,15,,,ST,LL
TJ18-45,78,60,10,,,NH,LL
TJ18-45,95,75,30,,,NH,LL
TJ18-45 B,92,58,88,,,ST,N
TJ18-45 D,67,72,352,,red,ST,LL
TJ18-45 D,96,72,0,,"white, pink",ST,LL
TJ18-45 D,76,52,86,,"white, red",ST,N
TR18-11,353,90,5,,grey,ST,LL
TR18-11,350,84,0,,,NH,LL
TR18-11,143,90,168,,grey,ST,RL
TR18-12,2,70,60,,,NH,N
TR18-13,21,57,35,,"red, green",ST,LL/N
TR18-13,358,68,86,,white,ST,N
TR18-13,226,82,170,,,SWS,RL
TR18-14,20,85,70,,,NH,LL
TR18-14,24,90,10,,"red, green",NH,LL
TR18-14,215,80,40,,,NH,LL
TR18-14,30,50,30,,,SWS,LL
TR18-14,231,84,28,,"red, green, white",ST,LL/T
TR18-14,337,60,70,,,NH,N
TR18-14,232,70,60,,,NH,N
TR18-14,334,53,50,,,SWS,N
TR18-14,210,71,65,,"green, orange",SWS,N
TR18-14,10,70,115,5,,SWS,N
TR18-14,14,88,52,,red,NH,N/LL
TR18-14,320,78,180,,red,ST,RL
TR18-14,342,85,196,,red,ST,RL
TR18-14,183,80,135,,,NH,RL
TR18-14,173,90,220,,"green, tan clay",NH,RL
