station,easting,northing
99-10,681468.4939,7332499.176
99-21,681522.2172,7335333.619
99-11,680929.192,7336148.58
01-51,682672.2879,7340810.373
00-99,672841.1169,7327671.169
00-80,667841.7668,7329484.498
87-8,664876.9259,7331056.049
87-7,665004.0971,7331560.953
87-1a,664516.3202,7333273.669
87-1b,664516.3202,7333273.669
91-1,664516.3202,7333273.669
87-3a,664873.0583,7335257.139
87-3b,664873.0583,7335257.139
87-2,667180.341,7335711.105
