station,strike,dip,comments,recorder
FL16-49,210,29,,sarah
FL16-49,205,34,,sarah
FL16-50,210,29,,sarah
FL16-50,220,29,,sarah
FL16-51,206,30,,sarah
FL16-51,203,30,,sarah
FL16-51,205,30,,sarah
FL16-52,212,24,,sarah
FL16-52,198,22,,sarah
FL16-53,246,26,,sarah
FL16-54,225,20,,sarah
FL16-55,240,28,,sarah
FL16-56,220,40,,sarah
FL16-57,239,34,,sarah
FL16-58,237,26,,sarah
FL16-58,196,29,,sarah
FL16-60,190,25,,sarah
FL16-60,150,20,,sarah
FL16-60,165,25,,sarah
FL16-60,195,27,,sarah
FL16-60,190,20,,sarah
FL16-60,188,18,,sarah
FL16-60,177,25,,sarah
FL16-60,206,28,,sarah
FL16-60,173,24,,sarah
FL16-64,205,25,,sarah
FL16-64,198,35,,sarah
FL16-64,190,40,,sarah
FL16-64,205,36,,sarah
FL16-64,178,38,,sarah
FL16-64,182,34,,sarah
FL16-64,181,28,,sarah
TJ14-01,265,54,,sarah
TJ14-01,246,39,,sarah
TJ14-01,233,36,,sarah
TJ14-01,233,33,,sarah
TJ14-01,255,46,,sarah
TJ14-01,270,41,,sarah
TJ14-01,261,50,,sarah
TJ14-03,225,42,,sarah
TJ14-03,238,37,,sarah
TJ14-03,261,47,,sarah
TJ14-03,255,40,,sarah
TJ14-03,215,45,,sarah
TJ14-03,224,53,,sarah
TJ14-07,290,5,,sarah
TJ14-07,285,12,,sarah
TJ14-08,295,22,,sarah
TJ14-08,285,29,,sarah
TJ14-08,275,23,,sarah
TJ14-08,295,25,,sarah
TJ14-09,315,34,,sarah
TJ14-09,322,43,,sarah
TJ14-09,328,31,,sarah
TJ14-10,315,31,,sarah
TJ14-10,300,20,,sarah
TJ14-11,277,32,,sarah
TJ14-11,323,38,,sarah
TJ14-11,270,30,,sarah
TJ14-11,294,24,,sarah
TJ14-12,278,19,,sarah
TJ14-12,290,28,,sarah
TJ14-12,265,15,,sarah
TJ14-15,255,25,,sarah
TJ14-15,272,20,,sarah
TJ14-15,280,22,,sarah
TJ14-15,302,12,,sarah
TJ16-17,281,35,,sarah
TJ16-17,291,33,,sarah
TJ16-17,286,26,,sarah
TJ16-17,268,36,,sarah
TJ16-17,298,28,,sarah
TJ16-18,282,33,,sarah
TJ16-19,330,41,,sarah
TJ16-19,300,30,,sarah
TJ16-19,290,33,,sarah
TJ16-19,283,33,,sarah
TJ16-20,264,35,,sarah
TJ16-20,275,38,,sarah
TJ16-21,292,33,,sarah
TJ16-21,282,41,,sarah
TJ16-21,293,31,,sarah
TJ16-22,285,28,,sarah
TJ16-23,272,28,,sarah
TJ16-24,268,28,,sarah
TJ16-25,279,36,,sarah
TJ16-25,276,26,,sarah
TJ16-26,273,26,,sarah
TJ16-26,279,30,,sarah
TJ16-26,278,36,,sarah
TJ16-27,281,30,,sarah
TJ16-28,274,34,,sarah
TJ16-28,286,39,,sarah
TJ16-28,269,26,,sarah
TJ16-28,270,36,,sarah
TJ16-28,260,32,,sarah
TJ16-29,268,39,,sarah
TJ16-30,285,33,,sarah
TJ16-30,289,41,,sarah
TJ16-31,210,15,,sarah
TJ16-31,218,18,,sarah
TJ16-32,210,14,,sarah
TJ16-33,345,16,,sarah
TJ16-33,135,24,,sarah
TJ16-33,160,11,,sarah
TJ16-34,210,8,,sarah
TJ16-34,232,11,,sarah
TJ16-34,93,13,,sarah
TJ16-34,166,13,,sarah
TJ16-34,202,11,,sarah
FL16-66 A,252,39,vesicles,sarah
FL16-66 A,244,36,vesicles,sarah
FL16-66 B,180,30,flow top,sarah
FL16-66 B,178,34,vesicles,sarah
FL16-66 B,206,8,vesicles,sarah
FL16-66 B,205,30,"good, vesicles",sarah
FL16-66 B,234,36,"good, flow top",sarah
