station,strike,dip,width (cm),shear,color,recorder,comments
FL17-77,79,75,3,,,ST,
FL17-77,100,79,,,,ST,
FL17-77,59,68,5,,,ST,
FL17-77,62,78,,,,ST,
FL17-77,357,57,,,,ST,
FL17-77,74,62,,,,ST,
FL17-77,32,62,,,,ST,
FL17-79,210,42,,,,ST,
FL17-79,96,73,,,,ST,
FL17-79,40,72,,,,ST,
FL17-79,81,40,,,,ST,
FL17-81,3,43,,LL ,pink,ST,
FL17-81,56,86,,,,ST,
FL17-81,65,86,,,,ST,
FL17-82,82,68,,,,ST,
FL17-83,25,41,,,,ST,
FL17-83,336,56,,,,ST,
FL17-84,65,78,,,,ST,
FL17-84,21,60,,,,ST,
FL17-84,5,54,,,,ST,
FL17-84,45,68,,,,ST,
FL17-84,5,83,,,,ST,
FL17-85,282,82,,,,ST,
FL17-85,23,72,,,,ST,
FL17-85,37,76,,,,ST,
FL17-85,40,66,,LL ,,ST,
FL17-86,70,63,,,,ST,
FL17-86,63,78,,,,ST,
FL17-86,65,62,,,,ST,
FL17-86,233,85,,,,ST,
FL17-86,66,52,,,,ST,
FL17-86,45,73,,,,ST,
FL17-86,285,70,,,,ST,
FL17-86,252,82,,,,ST,
FL17-86,75,85,,,,ST,
FL17-88,114,86,,,,ST,
FL17-88,336,72,,,,ST,
FL17-88,340,70,,,,ST,
FL17-88,323,74,,,,ST,
FL17-88,30,40,,,,ST,thru outcrop
FL17-88,30,56,,,,ST,
FL17-89,40,80,,,,ST,
FL17-89,350,70,,,,ST,
TJ17-39,24,75,,,,ST,5 photos
TJ17-39,208,87,,,,ST,
TJ17-39,205,82,,,,ST,
TJ17-39,9,80,,,,ST,
TJ17-39,125,80,,,,ST,
TJ17-39,130,80,,,,ST,photo
TJ17-39,130,79,,,,ST,
TJ17-39,181,88,,,,ST,
TJ17-39,3,85,,,,ST,
TJ17-39,141,80,,,,ST,thin bands
TJ17-39,345,82,30,,,ST,
TJ17-36 B,43,80,,,,SWS,
TJ17-36 B,39,86,,,,SWS,
TJ17-36 B,182,83,,,,SWS,
TJ17-36 B,208,81,,,,SWS,
TJ17-36 B,137,20,,,,SWS,huge
TJ17-37 A,352,83,,,,SWS,
TJ17-37 A,208,77,,,,SWS,
TJ17-37 A,250,74,,,,SWS,
TJ17-37 A,167,74,,,,SWS,
TJ17-37 B,123,53,,RL,,SWS,
TJ17-37 E,256,75,,,,SWS,
TJ17-37 E,180,69,,,,SWS,
TJ17-37 E,214,86,,,,SWS,
FL17-67,67,38,,,,SWS,
FL17-67,67,42,,,,SWS,
FL17-67,116,78,,,,SWS,
FL17-67,135,75,,,,SWS,
FL17-67,125,66,,,,SWS,
FL17-67,315,86,,,,SWS,
FL17-67,108,83,,,,SWS,
FL17-69,305,82,,,orange,SWS,
FL17-69,305,80,,,,SWS,
FL17-69,118,53,,,orange,SWS,
FL17-69,140,48,,,orange,SWS,
FL17-69,272,65,,,white,SWS,
FL17-69,64,63,,,,SWS,
FL17-70,2,87,4,,orange,SWS,
FL17-70,90,52,,,,SWS,
FL17-71,127,42,,,,SWS,
FL17-71,124,57,,,,SWS,photo
FL17-71,69,46,,,red,SWS,
FL17-71,51,51,,,,SWS,
FL17-71,49,58,,,,SWS,
FL17-71,46,57,,,,SWS,
FL17-71,49,50,,,,SWS,
FL17-71,30,61,,,,SWS,
FL17-71,50,60,,,,SWS,big
FL17-72,30,67,,,,SWS,
FL17-72,123,90,,,,SWS,in green crap entabulature
FL17-72,143,87,,,,SWS,in green crap entabulature
FL17-72,191,82,,,,SWS,in green crap entabulature
FL17-72,105,90,,,,SWS,in green crap entabulature
FL17-72,90,64,,,"pink, green",SWS,wide
FL17-72,85,64,,,"photo, big, pink",SWS,
FL17-72,65,60,,,,SWS,
FL17-72,67,80,,,,SWS,
FL17-73,115,70,,,,SWS,
FL17-73,108,77,,,,SWS,
FL17-73,70,63,,,,SWS,
FL17-74,115,73,,,,SWS,
FL17-74,126,57,,,,SWS,
FL17-74,145,71,,,,SWS,
FL17-74,106,61,,,,SWS,
FL17-74,357,77,,,,SWS,
FL17-74,116,78,,,,SWS,
FL17-74,67,65,,,,SWS,
FL17-74,38,49,,,,SWS,
FL17-74,29,77,,,,SWS,
FL17-74,193,68,,,,SWS,
FL17-75 A,27,81,,LL,,SWS,"pull apart, sketch"
FL17-75 A,35,65,,,,SWS,
FL17-75 A,124,74,,,,SWS,
FL17-75 B,175,72,,,,SWS,
FL17-75 B,210,67,,,,SWS,
FL17-75 B,21,90,,,,SWS,
EY17-03,285,77,,,,SWS,
EY17-05,336,68,,,,SWS,
FL17-76,65,49,,,,SWS,
FL17-76,198,86,,,,SWS,
FL17-76,82,76,,,,SWS,
FL17-76,53,45,5,,"pink, white",SWS,
FL17-76,7,50,5,,"pink, white",SWS,
FL17-77,327,86,5,,,SWS,
FL17-77,101,77,,,,SWS,
FL17-77,90,32,,,,SWS,
FL17-77,57,65,10,,,SWS,
FL17-81,61,77,5,,red,SWS,
FL17-84,75,67,,,,SWS,
FL17-84,75,81,,,,SWS,
FL17-84,55,60,,,,SWS,
FL17-84,59,72,,,,SWS,
FL17-84,320,71,,,,SWS,
FL17-85,22,64,,,,SWS,
FL17-85,31,54,,,,SWS,
FL17-85,205,79,,,,SWS,
FL17-85,31,67,,,,SWS,
FL17-85,153,87,,,,SWS,
FL17-85,28,75,,,,SWS,
FL17-85,10,69,,,,SWS,
FL17-85,7,79,,,,SWS,
FL17-85,46,78,,,,SWS,
FL17-86,47,73,,,,SWS,
FL17-86,267,83,,,,SWS,
FL17-86,70,86,,,,SWS,
FL17-86,250,86,,,,SWS,
FL17-87,60,79,,,,SWS,
FL17-87,75,81,,,,SWS,
FL17-87,62,83,50,,,SWS,
FL17-88,44,55,,,,SWS,
FL17-88,178,75,,,,SWS,
FL17-88,80,79,,,,SWS,
FL17-88,171,84,,,,SWS,
FL17-88,333,59,,,,SWS,
FL17-89,29,79,,,,SWS,
FL17-89,349,81,,,,SWS,
TJ17-39,202,80,,,,SWS,
TJ17-39,348,87,,,,SWS,
TJ17-39,30,81,50,,,SWS,
TJ17-39,26,65,,,,SWS,
TJ17-39,24,78,,,,SWS,huge
TJ17-39,127,70,,,,SWS,
TJ17-39,151,64,,,,SWS,
TJ17-38,158,84,2,,,SWS,
TJ17-38,43,90,,,purple,SWS,
FL17-78,340,59,,,,SWS,
FL17-78,342,61,,,,SWS,
FL17-78,7,71,10,,,SWS,
FL17-78,356,70,,,,SWS,
FL17-78,355,38,50,,,SWS,
FL17-78,0,61,,,,SWS,
FL17-78,1,65,,,,SWS,
FL17-80,33,60,,,,SWS,
FL17-80,82,66,,,,SWS,
FL17-80,63,64,,,,SWS,
FL17-80,348,63,,,,SWS,
FL17-80,0,74,40,,40cm,SWS,
FL17-80,349,58,,,,SWS,
FL17-80,48,60,30,,"white, pink",SWS,2 photos
FL17-80,25,47,,,,SWS,
FL17-80,59,61,50,,,SWS,
FL17-80,345,63,4,,,SWS,
FL17-80,30,64,,LL,,SWS,
TJ17-39,333,87,,,,SWS,
TJ17-39,15,80,,,,SWS,
TJ17-39,114,37,40,,,SWS,
TJ17-39,96,69,,,,SWS,
TJ17-39,113,63,,,,SWS,
TJ17-39,235,45,,,,SWS,
TJ17-39,112,48,,,,SWS,big
TJ17-39,136,84,,,,SWS,
TJ17-39,155,66,,,,SWS,
TJ17-39,136,69,20,,,SWS,
